Pond_name	Line_number	Pond_type	Clonal_line_name
A1_AnOudin	C02	NA_NF	A1_AnOudin_C02_combined
A1_AnOudin	C04	NA_NF	A1_AnOudin_C04
A1_AnOudin	C06	NA_NF	A1_AnOudin_C06_combined
A1_AnOudin	C09	NA_NF	A1_AnOudin_C09
A1_AnOudin	C10	NA_NF	A1_AnOudin_C10
A1_AnOudin	C12	NA_NF	A1_AnOudin_C12
A1_AnOudin	C14	NA_NF	A1_AnOudin_C14
A1_AnOudin	C16	NA_NF	A1_AnOudin_C16
A1_AnOudin	C18	NA_NF	A1_AnOudin_C18
A1_AnOudin	C20	NA_NF	A1_AnOudin_C20
A1_AnOudin	C22	NA_NF	A1_AnOudin_C22
A1_AnOudin	C24	NA_NF	A1_AnOudin_C24
A1_AnOudin	C26	NA_NF	A1_AnOudin_C26
A1_AnOudin	C28	NA_NF	A1_AnOudin_C28
A1_AnOudin	C30	NA_NF	A1_AnOudin_C30
A1_AnOudin	C32	NA_NF	A1_AnOudin_C32
A1_AnOudin	C35	NA_NF	A1_AnOudin_C35
A1_AnOudin	C36	NA_NF	A1_AnOudin_C36
A1_AnOudin	C38	NA_NF	A1_AnOudin_C38
A1_AnOudin	C39	NA_NF	A1_AnOudin_C39
A2_BuSN	C02	NA_NF	A2_BuSN_C02
A2_BuSN	C04	NA_NF	A2_BuSN_C04
A2_BuSN	C08	NA_NF	A2_BuSN_C08
A2_BuSN	C10	NA_NF	A2_BuSN_C10
A2_BuSN	C12	NA_NF	A2_BuSN_C12
A2_BuSN	C15	NA_NF	A2_BuSN_C15
A2_BuSN	C16	NA_NF	A2_BuSN_C16
A2_BuSN	C18	NA_NF	A2_BuSN_C18
A2_BuSN	C20	NA_NF	A2_BuSN_C20
A2_BuSN	C22	NA_NF	A2_BuSN_C22
A2_BuSN	C24	NA_NF	A2_BuSN_C24
A2_BuSN	C26	NA_NF	A2_BuSN_C26
A2_BuSN	C28	NA_NF	A2_BuSN_C28
A2_BuSN	C32	NA_NF	A2_BuSN_C32
A2_BuSN	C34	NA_NF	A2_BuSN_C34
A2_BuSN	C36	NA_NF	A2_BuSN_C36
A2_BuSN	C40	NA_NF	A2_BuSN_C40
A2_BuSN	C44	NA_NF	A2_BuSN_C44
A2_BuSN	C46	NA_NF	A2_BuSN_C46
A2_BuSN	C50	NA_NF	A2_BuSN_C50
A3_Mech	C02	NA_NF	A3_Mech_C02
A3_Mech	C04	NA_NF	A3_Mech_C04
A3_Mech	C06	NA_NF	A3_Mech_C06
A3_Mech	C08	NA_NF	A3_Mech_C08
A3_Mech	C10	NA_NF	A3_Mech_C10
A3_Mech	C12	NA_NF	A3_Mech_C12
A3_Mech	C14	NA_NF	A3_Mech_C14
A3_Mech	C18	NA_NF	A3_Mech_C18
A3_Mech	C20	NA_NF	A3_Mech_C20
A3_Mech	C24	NA_NF	A3_Mech_C24
A3_Mech	C26	NA_NF	A3_Mech_C26
A3_Mech	C28	NA_NF	A3_Mech_C28
A3_Mech	C34	NA_NF	A3_Mech_C34
A3_Mech	C36	NA_NF	A3_Mech_C36
A3_Mech	C38	NA_NF	A3_Mech_C38
A3_Mech	C40	NA_NF	A3_Mech_C40
A3_Mech	C41	NA_NF	A3_Mech_C41
A3_Mech	C46	NA_NF	A3_Mech_C46
A3_Mech	C48	NA_NF	A3_Mech_C48
A3_Mech	C49	NA_NF	A3_Mech_C49
A4_Pl15YEL	C02	NA_NF	A4_PL15_YEL_C02
A4_Pl15YEL	C04	NA_NF	A4_PL15_YEL_C04
A4_Pl15YEL	C07	NA_NF	A4_PL15_YEL_C07
A4_Pl15YEL	C08	NA_NF	A4_PL15_YEL_C08
A4_Pl15YEL	C10	NA_NF	A4_PL15_YEL_C10
A4_Pl15YEL	C12	NA_NF	A4_PL15_YEL_C12
A4_Pl15YEL	C14	NA_NF	A4_PL15_YEL_C14
A4_Pl15YEL	C16	NA_NF	A4_PL15_YEL_C16
A4_Pl15YEL	C18	NA_NF	A4_PL15_YEL_C18
A4_Pl15YEL	C19	NA_NF	A4_PL15_YEL_C19
A4_Pl15YEL	C22	NA_NF	A4_PL15_YEL_C22
A4_Pl15YEL	C28	NA_NF	A4_PL15_YEL_C28
A4_Pl15YEL	C30	NA_NF	A4_PL15_YEL_C30
A4_Pl15YEL	C32	NA_NF	A4_PL15_YEL_C32
A4_Pl15YEL	C36	NA_NF	A4_PL15_YEL_C36
A4_Pl15YEL	C38	NA_NF	A4_PL15_YEL_C38
A4_Pl15YEL	C44	NA_NF	A4_PL15_YEL_C44
A4_Pl15YEL	C46	NA_NF	A4_PL15_YEL_C46
A4_Pl15YEL	C48	NA_NF	A4_PL15_YEL_C48
A4_Pl15YEL	C50	NA_NF	A4_PL15_YEL_C50
A5_GenM	C02	NA_NF	A5_GenM_C02
A5_GenM	C06	NA_NF	A5_GenM_C06
A5_GenM	C10	NA_NF	A5_GenM_C10
A5_GenM	C14	NA_NF	A5_GenM_C14
A5_GenM	C18	NA_NF	A5_GenM_C18
A5_GenM	C20	NA_NF	A5_GenM_C20
A5_GenM	C22	NA_NF	A5_GenM_C22
A5_GenM	C23	NA_NF	A5_GenM_C23
A5_GenM	C24	NA_NF	A5_GenM_C24
A5_GenM	C30	NA_NF	A5_GenM_C30
A5_GenM	C35	NA_NF	A5_GenM_C35
A5_GenM	C36	NA_NF	A5_GenM_C36
A5_GenM	C38	NA_NF	A5_GenM_C38
A5_GenM	C39	NA_NF	A5_GenM_C39
A5_GenM	C41	NA_NF	A5_GenM_C41
A5_GenM	C43	NA_NF	A5_GenM_C43
A5_GenM	C46	NA_NF	A5_GenM_C46
A5_GenM	C48	NA_NF	A5_GenM_C48
A5_GenM	C49	NA_NF	A5_GenM_C49
A5_GenM	C50	NA_NF	A5_GenM_C50
B1_BKN1	C02	NA_F	B1_BKN1_C02
B1_BKN1	C04	NA_F	B1_BKN1_C04
B1_BKN1	C06	NA_F	B1_BKN1_C06
B1_BKN1	C08	NA_F	B1_BKN1_C08
B1_BKN1	C10	NA_F	B1_BKN1_C10
B1_BKN1	C12	NA_F	B1_BKN1_C12
B1_BKN1	C13	NA_F	B1_BKN1_C13
B1_BKN1	C18	NA_F	B1_BKN1_C18
B1_BKN1	C19	NA_F	B1_BKN1_C19
B1_BKN1	C24	NA_F	B1_BKN1_C24
B1_BKN1	C26	NA_F	B1_BKN1_C26
B1_BKN1	C27	NA_F	B1_BKN1_C27
B1_BKN1	C28	NA_F	B1_BKN1_C28
B1_BKN1	C30	NA_F	B1_BKN1_C30
B1_BKN1	C36	NA_F	B1_BKN1_C36
B1_BKN1	C38	NA_F	B1_BKN1_C38
B1_BKN1	C40	NA_F	B1_BKN1_C40
B1_BKN1	C41	NA_F	B1_BKN1_C41
B1_BKN1	C44	NA_F	B1_BKN1_C44
B1_BKN1	C50	NA_F	B1_BKN1_C50
B2_OM2	C02	NA_F	B2_OM2_C02
B2_OM2	C04	NA_F	B2_OM2_C04
B2_OM2	C06	NA_F	B2_OM2_C06
B2_OM2	C08	NA_F	B2_OM2_C08
B2_OM2	C10	NA_F	B2_OM2_C10
B2_OM2	C12	NA_F	B2_OM2_C12
B2_OM2	C14	NA_F	B2_OM2_C14
B2_OM2	C18	NA_F	B2_OM2_C18
B2_OM2	C20	NA_F	B2_OM2_C20
B2_OM2	C22	NA_F	B2_OM2_C22
B2_OM2	C23	NA_F	B2_OM2_C23
B2_OM2	C25	NA_F	B2_OM2_C25
B2_OM2	C28	NA_F	B2_OM2_C28
B2_OM2	C31	NA_F	B2_OM2_C31
B2_OM2	C32	NA_F	B2_OM2_C32
B2_OM2	C34	NA_F	B2_OM2_C34
B2_OM2	C36	NA_F	B2_OM2_C36
B2_OM2	C38	NA_F	B2_OM2_C38
B2_OM2	C40	NA_F	B2_OM2_C40
B2_OM2	C44	NA_F	B2_OM2_C44
B3_ZW	C02	NA_F	B3_ZW_C02
B3_ZW	C04	NA_F	B3_ZW_C04
B3_ZW	C06	NA_F	B3_ZW_C06
B3_ZW	C08	NA_F	B3_ZW_C08
B3_ZW	C10	NA_F	B3_ZW_C10
B3_ZW	C12	NA_F	B3_ZW_C12
B3_ZW	C14	NA_F	B3_ZW_C14
B3_ZW	C16	NA_F	B3_ZW_C16
B3_ZW	C18	NA_F	B3_ZW_C18
B3_ZW	C21	NA_F	B3_ZW_C21
B3_ZW	C22	NA_F	B3_ZW_C22
B3_ZW	C23	NA_F	B3_ZW_C23
B3_ZW	C25	NA_F	B3_ZW_C25
B3_ZW	C26	NA_F	B3_ZW_C26
B3_ZW	C30	NA_F	B3_ZW_C30
B3_ZW	C32	NA_F	B3_ZW_C32
B3_ZW	C36	NA_F	B3_ZW_C36
B3_ZW	C37	NA_F	B3_ZW_C37
B3_ZW	C40	NA_F	B3_ZW_C40
B3_ZW	C42	NA_F	B3_ZW_C42
B4_OHZ	C20	NA_F	B4_OHZ_C20
B4_OHZ	C21	NA_F	B4_OHZ_C21
